Nro;Ubicacion;Rotulado;Descripcion;Marca;Modelo;Matricula Nro;Motor Nro;Chassis Nro;RASP;"Modelo
Año";Valor;Estado;"Fecha
Incorporacion"
1;12ª REGION SANITARIA - ÑEEMBUCU;011-29-85-0180;AMBULANCIA;MERCEDES BENZ;SPRINTER 308 CDI/F 3000;BGY 322;6.11988E+13;8AC903661BE045148;***;2011;134,205,000;Inutilizado;17/2/2012
2;Hospital de Fuerte Olimpo (17ª R.S. Alto Paraguay);12008-453-01-0161;AMBULANCIA;TOYOTA;LAND CRUISER;AALD 363;1HZ0991687;JTERB71J60F015919;C-0012252;2022;295,319,960;Bueno;9/6/2022
3;Dpto. de Transporte y Talleres - Bienes en Transito;011-03-24-0499;AMBULANCIA;TOYOTA;LAND CRUISER;***;1HZ0191721;HZJ750033363;C-0002219;1997;85,000,000;Regular;31/5/1997
4;Dpto. de Transporte y Talleres - Bienes en Transito;011-03-24-0376;AMBULANCIA;NISSAN;URVAN;***;TD25193666;CJGE24003029;C-0001946;1994;60,000,000;Regular;5/11/2008
5;1ª REGION SANITARIA CONCEPCION;011-03-24-0573;AMBULANCIA;NISSAN;1999;***;01653E;VSKAVI260U0613170;***;1999;70,174,943;Bueno;25/6/1999
6;1ª REGION SANITARIA CONCEPCION;011-03-24-0567;AMBULANCIA;NISSAN;1999;***;14518;VWAKF0558XA790375;***;1999;70,174,943;Inutilizado;10/3/1999
7;1ª REGION SANITARIA CONCEPCION;011-03-24-0444;AMBULANCIA;TOYOTA;LAND CRUISER;***;1HZ-0191618;HZJ500033334;C-0002218;1995;80,000,000;Inutilizado;31/5/1997
8;1ª REGION SANITARIA CONCEPCION;011-03-24-0435;AMBULANCIA;KORANDO;SSANGYONG;EAD353;DC23-103040;KPKHB6DY1MP041998;C-0001155;1991;30,000,000;Inutilizado;31/5/1997
9;1ª REGION SANITARIA CONCEPCION;011-03-24-0421;AMBULANCIA;TOYOTA;OJ50LV-B;EAC428;374.900-005.087135;9BROJ0030M1013473;C-0001092;1991;30,000,000;Inutilizado;31/5/1997
10;1ª REGION SANITARIA CONCEPCION;011-387-01-0024;AMBULANCIA;HYUNDAI;STAREX;***;***;KMJWSH7HP4U605463;***;2004;58,630,000;Inutilizado;9/10/2014
11;1ª REGION SANITARIA CONCEPCION;011-387-01-0023;AMBULANCIA;HYUNDAI;STAREX;***;***;KMJWSH7HP4U609467;***;2004;58,630,000;Inutilizado;15/7/2014
12;2ª REGION SANITARIA SAN PEDRO;12008-17-15-1826;AMBULANCIA;MERCEDES BENZ;SPRINTER F3665CDI;AAPV 344;651958W0141017;8AC907643PE219447;***;2022;633,988,700;Bueno;3/7/2023
13;2ª REGION SANITARIA SAN PEDRO;011-03-27-0858;AMBULANCIA;ISUZU;TFS54HSPLMEG-05A013;EAH 447;252572;MPATFS54HDT100918;***;2013;351,310,180;Bueno;5/3/2013
14;2ª REGION SANITARIA SAN PEDRO;011-310-06-0695;AMBULANCIA;MERCEDES BENZ;SPRINTER 313 CDI/F3550;EAF 570;6.11982E+13;8AC903662AE031240;C-0007301;2010;261,117,500;Muy Bueno;22/7/2010
15;2ª REGION SANITARIA SAN PEDRO;011-310-02-0691;AMBULANCIA;RENAULT;MASTER/2008;EAE 786;G9UA724C039354;93YADCUD58J015383;***;2008;227,000,000;Inutilizado;27/2/2009
16;2ª REGION SANITARIA SAN PEDRO;011-03-24-0673;AMBULANCIA;MERCEDES BENZ;SPRINTER 313 CDI F/3000;EAE 295;6.11982E+13;8AC9036617A952728;***;2007;178,000,000;Muy Bueno;11/1/2007
17;2ª REGION SANITARIA SAN PEDRO;011-03-24-0582;AMBULANCIA;NISSAN;1999;***;01832E;VSKAVI260U0613345;***;1999;70,174,943;Bueno;2/7/1999
18;2ª REGION SANITARIA SAN PEDRO;011-03-24-0579;AMBULANCIA;NISSAN;1999;***;01724E;VSKAVI260U0613173;***;1999;70,174,943;Bueno;2/7/1999
19;2ª REGION SANITARIA SAN PEDRO;011-03-24-0577;AMBULANCIA;NISSAN;1999;***;TD27ATS1737E;VSKAVI260U0613257;***;***;74,174,943;Inutilizado;20/7/1999
20;2ª REGION SANITARIA SAN PEDRO;011-03-24-0550;AMBULANCIA;NISSAN;1999;***;TD27ATS03287E;VSKAVU260U0614871;C-0004494;1999;56,219,389;Regular;4/10/1999
21;2ª REGION SANITARIA SAN PEDRO;011-03-24-0448;AMBULANCIA;TOYOTA;LAND CRUISER;BGA 540;1HZ-0191662;HZJ75-0033350;C-0002220;1997;80,000,000;Bueno;31/5/1997
22;2ª REGION SANITARIA SAN PEDRO;011-218-01-0043;AMBULANCIA;NISSAN;1999;***;01155E;VSKAVU260U0612696;***;1999;70,174,943;Bueno;7/9/1999
23;2ª REGION SANITARIA SAN PEDRO;011-218-01-0040;AMBULANCIA;NISSAN;TRADE AÑO:1999;EAC932;3989;VWAKF0558XA790672;***;1999;81,075,843;Bueno;28/12/2008
24;3ª REGION SANITARIA CORDILLERA;011-03-24-0654;AMBULANCIA;MERCEDES BENZ;SPRINTER 308 CDI/F3000;EAD 166;6.11988E+13;8AC9036616A933325;C-0005238;2006;154,499,999;Muy Bueno;9/12/2005
